ZEIT,PRESS_FILTER,HEIGHT_FILTER,PRESS RAW [hpa],HEIGHT RAW [m],ACCEL,SPEED,EVENT,EVENT,VOLT. CHANNEL,VOLTAGE [V]
1,99747.6953125,20.5757751464844,99766,19.0326232910156,50.9139,0,0,RAMPE,1,12.1751639579883
1.005,99747.6484375,20.5798492431641,99745,20.8033752441406,45.4203,0,0,RAMPE,2,0.504165513120117
1.01,99747.46875,20.5951232910156,99738,21.3935241699219,48.4614,0,0,RAMPE,3,10.9235861176025
1.015,99747.609375,20.5834197998047,99756,19.8757019042969,48.4614,0,0,RAMPE,4,10.9235861176025
1.02,99746.609375,20.6674346923828,99693,25.1882934570313,43.5564,0,0,RAMPE,5,0
1.025,99746.3671875,20.6877899169922,99735,21.6461029052734,47.1861,0,0,RAMPE,1,12.1783067468262
1.03,99746.515625,20.6755828857422,99756,19.8757019042969,49.6386,0,0,RAMPE,2,0.498830428325195
1.035,99746.671875,20.6623382568359,99756,19.8757019042969,46.0089,0,0,RAMPE,3,10.9235861176025
1.04,99746.6328125,20.6653900146484,99745,20.8033752441406,49.05,0,0,RAMPE,4,10.9235861176025
1.045,99747.0546875,20.6297454833984,99771,18.6116180419922,51.5025,0,0,RAMPE,5,0
1.05,99747.203125,20.6175231933594,99756,19.8757019042969,49.6386,0,0,RAMPE,1,12.1688783803125
1.055,99747.2421875,20.6139678955078,99750,20.3817901611328,50.3253,0,0,RAMPE,2,0.496162885927734
1.06,99746.8671875,20.6455383300781,99727,22.3208312988281,51.5025,0,0,RAMPE,3,10.9235861176025
1.065,99747.0625,20.6292419433594,99759,19.6231842041016,50.9139,0,0,RAMPE,4,10.9235861176025
1.07,99747.21875,20.6159973144531,99756,19.8757019042969,49.05,0,0,RAMPE,5,0
1.075,99747.421875,20.5991973876953,99759,19.6231842041016,47.8728,0,0,RAMPE,1,12.1720211691504
1.08,99747.9375,20.555419921875,99776,18.1901092529297,47.1861,0,0,RAMPE,2,0.493495343530273
1.085,99748.265625,20.5279235839844,99766,19.0326232910156,48.4614,0.24222055,2,G-START,3,10.9235861176025
1.09,99747.4453125,20.59716796875,99703,24.3447875976563,50.3253,0.493757275,0,RAMPE,4,10.9235861176025
1.095,99747.59375,20.5844421386719,99757,19.7917022705078,52.7778,0.757552125,0,RAMPE,5,0
1.1,99748.015625,20.5487976074219,99771,18.6116180419922,49.6386,1.005656575,0,RAMPE,1,12.1594500137988
1.105,99747.78125,20.5686492919922,99735,21.6461029052734,50.9139,1.26013525,0,RAMPE,2,0.493495343530273
1.11,99747.71875,20.5737457275391,99745,20.8033752441406,50.9139,1.514613925,0,RAMPE,3,10.9235861176025
1.115,99747.375,20.6027679443359,99729,22.1522674560547,47.8728,1.753892525,0,RAMPE,4,10.9235861176025
1.12,99747.609375,20.5834197998047,99761,19.4541473388672,46.5975,1.9867969,0,RAMPE,5,0
1.125,99747.84375,20.5635528564453,99761,19.4541473388672,44.7336,2.2103851,0,RAMPE,1,12.153164436123
1.13,99747.7890625,20.5681457519531,99745,20.8033752441406,44.7336,2.4339733,0,RAMPE,2,0.498830428325195
1.135,99747.2578125,20.6129455566406,99719,22.99560546875,48.4614,2.67619385,0,RAMPE,3,10.9235861176025
1.14,99746.8203125,20.6496124267578,99724,22.5739288330078,43.5564,2.89389815,0,RAMPE,4,10.9235861176025
1.145,99747.0546875,20.6297454833984,99761,19.4541473388672,43.5564,3.11160245,0,RAMPE,5,0
1.15,99747.3046875,20.6088714599609,99761,19.4541473388672,46.5975,3.344506825,0,RAMPE,1,12.1657355914746
1.155,99746.6953125,20.6602935791016,99714,23.4172973632813,48.4614,3.586727375,0,RAMPE,2,0.498830428325195
1.16,99746.4609375,20.6801605224609,99735,21.6461029052734,50.3253,3.8382641,0,RAMPE,3,10.9235861176025
1.165,99746.609375,20.6674346923828,99756,19.8757019042969,49.05,4.0834266,0,RAMPE,4,10.9235861176025
1.17,99746.765625,20.6541900634766,99756,19.8757019042969,47.1861,4.319272925,0,RAMPE,5,0
1.175,99746.7265625,20.6577606201172,99745,20.8033752441406,53.955,4.588951675,0,RAMPE,1,12.1657355914746
1.18,99746.59375,20.6689605712891,99740,21.2249755859375,50.3253,4.8404884,0,RAMPE,2,0.498830428325195
1.185,99745.984375,20.7203826904297,99714,23.4172973632813,44.145,5.06113465,0,RAMPE,3,10.9235861176025
1.19,99745.6484375,20.7483825683594,99729,22.1522674560547,46.0089,5.291097075,0,RAMPE,4,10.9235861176025
1.195,99745.90625,20.7270050048828,99761,19.4541473388672,46.0089,5.5210595,0,RAMPE,5,0
1.2,99745.40625,20.7687530517578,99719,22.99560546875,45.4203,5.748079975,0,RAMPE,1,12.1500216472852
1.205,99745.078125,20.7967529296875,99729,22.1522674560547,46.0089,5.9780424,0,RAMPE,2,0.498830428325195
1.21,99744.8671875,20.8145751953125,99735,21.6461029052734,45.4203,6.205062875,0,RAMPE,3,10.9235861176025
1.215,99744.5546875,20.8405456542969,99729,22.1522674560547,47.1861,6.4409092,0,RAMPE,4,10.9235861176025
1.22,99744.8203125,20.8181457519531,99761,19.4541473388672,50.3253,6.692445925,0,RAMPE,5,0
1.225,99744.625,20.8349456787109,99735,21.6461029052734,47.8728,6.931724525,0,RAMPE,1,12.1720211691504
1.23,99744.4296875,20.8512420654297,99735,21.6461029052734,49.05,7.176887025,0,RAMPE,2,0.496162885927734
1.235,99744.5,20.8451232910156,99750,20.3817901611328,49.6386,7.424991475,0,RAMPE,3,10.9235861176025
1.24,99743.921875,20.8940124511719,99714,23.4172973632813,53.955,7.694670225,0,RAMPE,4,10.9235861176025
1.245,99743.609375,20.9204864501953,99729,22.1522674560547,46.5975,7.9275746,0,RAMPE,5,0
