Scalar,Scalar
47.950953,-8.015850
49.043724,-8.015729
50.136496,-8.015614
51.229267,-8.015503
52.567692,-8.015371
53.906116,-8.015244
55.244540,-8.015119
56.582964,-8.014997
57.921389,-8.014875
59.259813,-8.014755
60.598237,-8.014634
61.936662,-8.014514
63.506045,-8.014372
65.075428,-8.014228
66.644811,-8.014084
68.214194,-8.013937
70.468134,-8.013723
72.722073,-8.013505
73.017951,-8.013476
73.313829,-8.013447
73.609707,-8.013418
74.062631,-8.013374
74.515554,-8.013329
74.968477,-8.013284
76.451367,-8.013136
77.934257,-8.012987
79.417147,-8.012839
80.900037,-8.012690
83.072749,-8.012474
85.245460,-8.012259
87.418172,-8.012046
89.590884,-8.011835
91.219949,-8.011679
92.244382,-8.011582
93.268815,-8.011485
94.293247,-8.011390
95.450063,-8.011283
96.606878,-8.011177
97.763693,-8.011074
99.647769,-8.010909
101.531846,-8.010749
103.415922,-8.010594
105.299998,-8.010445
108.339483,-8.010217
109.099354,-8.010162
109.859226,-8.010109
110.619097,-8.010056
111.378969,-8.010004
112.399515,-8.009935
113.420061,-8.009869
114.440608,-8.009803
115.461154,-8.009740
117.776237,-8.009600
120.091320,-8.009468
122.406403,-8.009343
124.721486,-8.009225
127.036569,-8.009114
128.724497,-8.009036
130.412425,-8.008962
132.100352,-8.008891
133.788280,-8.008823
135.558874,-8.008754
137.329469,-8.008687
139.100063,-8.008623
142.059589,-8.008521
143.305502,-8.008480
144.551414,-8.008440
145.797327,-8.008402
147.035425,-8.008364
148.273522,-8.008328
149.511620,-8.008292
151.734603,-8.008231
153.957587,-8.008174
156.180570,-8.008119
158.403553,-8.008067
161.633563,-8.007997
163.459645,-8.007961
165.285728,-8.007927
167.111811,-8.007896
169.571780,-8.007857
172.031749,-8.007824
174.491718,-8.007795
175.159943,-8.007788
175.828168,-8.007782
176.496393,-8.007776
177.550558,-8.007767
178.604724,-8.007759
179.658889,-8.007752
181.778024,-8.007741
183.897159,-8.007735
186.016294,-8.007733
188.135428,-8.007735
191.076439,-8.007746
192.537833,-8.007755
193.999226,-8.007765
195.460620,-8.007777
196.888773,-8.007790
198.316926,-8.007805
199.745079,-8.007820
201.664209,-8.007843
202.180952,-8.007850
202.233701,-8.007850
202.286450,-8.007851
204.272934,-8.007877
206.180952,-8.007904
206.182455,-8.007904
206.183957,-8.007904
206.186962,-8.007904
206.189967,-8.007904
206.192972,-8.007904
206.209254,-8.007904
206.225537,-8.007904
206.241819,-8.007905
206.258101,-8.007905
206.282858,-8.007905
206.307615,-8.007906
206.332372,-8.007906
206.357128,-8.007906
206.381885,-8.007907
