Scalar,Scalar
30.527220,5904.316288
30.743715,5911.414663
30.960210,5918.046582
31.209989,5925.119782
31.459767,5931.574710
31.709546,5937.412679
31.959325,5942.634949
32.209103,5947.242739
32.563560,5952.729136
32.851460,5956.278542
33.139361,5959.016808
33.427261,5960.945424
33.715161,5962.065803
33.971102,5962.384277
33.971429,5962.384276
33.994163,5962.379176
34.016898,5962.369052
34.143385,5962.235019
34.269871,5961.945623
34.396357,5961.500975
34.693633,5959.845294
34.971429,5957.524846
34.986162,5957.381152
35.000895,5957.236620
35.030361,5956.945886
35.059827,5956.651815
35.089293,5956.354416
35.277330,5954.378795
35.465367,5952.270406
35.653404,5950.031374
35.841441,5947.663671
36.130945,5943.770992
36.420450,5939.583923
36.709955,5935.108389
36.999459,5930.350114
37.288964,5925.314762
37.759438,5916.555500
38.229912,5907.104599
38.700387,5896.988382
39.170861,5886.234672
39.641335,5874.872877
40.111810,5862.933812
40.871948,5842.506267
41.632086,5820.795430
42.392224,5797.942604
43.152362,5774.086757
43.912500,5749.360785
44.672639,5723.888796
45.765410,5686.188618
46.858182,5647.473771
47.950953,5607.989237
49.043724,5567.933496
50.136496,5527.463945
51.229267,5486.703466
52.567692,5436.520420
53.906116,5386.170394
55.244540,5335.744591
56.582964,5285.308456
57.921389,5234.908883
59.259813,5184.578538
60.598237,5134.338632
61.936662,5084.203666
63.506045,5025.563786
65.075428,4967.090735
66.644811,4908.789637
68.214194,4850.662698
70.468134,4767.487138
72.722073,4684.670524
73.017951,4673.825521
73.313829,4662.986666
73.609707,4652.153929
74.062631,4635.583333
74.515554,4619.027212
74.968477,4602.485646
76.451367,4548.430274
77.934257,4494.532866
79.417147,4440.793518
80.900037,4387.211558
83.072749,4308.985968
85.245460,4231.091735
87.418172,4153.523654
89.590884,4076.276419
91.219949,4018.564821
92.244382,3982.363384
93.268815,3946.231980
94.293247,3910.171304
95.450063,3869.536476
96.606878,3828.993009
97.763693,3788.540871
99.647769,3722.852210
101.531846,3657.402865
103.415922,3592.189903
105.299998,3527.210040
108.339483,3422.864818
109.099354,3396.870493
109.859226,3370.912519
110.619097,3344.990826
111.378969,3319.105371
112.399515,3284.396822
113.420061,3249.753444
114.440608,3215.175066
115.461154,3180.661459
117.776237,3102.606829
120.091320,3024.880056
122.406403,2947.476425
124.721486,2870.390992
127.036569,2793.618638
128.724497,2737.838027
130.412425,2682.218530
132.100352,2626.757833
133.788280,2571.453926
135.558874,2513.608078
137.329469,2455.931013
139.100063,2398.420746
142.059589,2302.660777
143.305502,2262.482986
144.551414,2222.385011
145.797327,2182.366698
147.035425,2142.678191
148.273522,2103.068026
149.511620,2063.535842
151.734603,1992.750894
153.957587,1922.213077
156.180570,1851.919345
158.403553,1781.866482
161.633563,1680.504199
163.459645,1623.422423
165.285728,1566.503392
167.111811,1509.745968
169.571780,1433.538905
172.031749,1357.618434
174.491718,1281.980722
175.159943,1261.482944
175.828168,1241.005759
176.496393,1220.549299
177.550558,1188.320525
178.604724,1156.144190
179.658889,1124.020510
181.778024,1059.603192
183.897159,995.397777
186.016294,931.402020
188.135428,867.613205
191.076439,779.422862
192.537833,735.743923
193.999226,692.156774
195.460620,648.659250
196.888773,606.236190
198.316926,563.896152
199.745079,521.638035
201.664209,464.979089
202.180952,449.747750
202.233701,448.193578
202.286450,446.639514
204.272934,388.190149
206.180952,332.191157
206.182455,332.147335
206.183957,332.103731
206.186962,332.016952
206.189967,331.931023
206.192972,331.845926
206.209254,331.398626
206.225537,330.972840
206.241819,330.566495
206.258101,330.177785
206.282858,329.617060
206.307615,329.088838
206.332372,328.589258
206.357128,328.115058
206.381885,327.663508
206.423390,326.951051
206.464894,326.286843
206.506399,325.663694
206.547903,325.075926
206.589408,324.518877
206.630912,323.988689
206.698782,323.171411
206.766652,322.406215
206.834522,321.684339
206.902392,320.998888
206.970262,320.344321
207.038132,319.716142
207.154770,318.687869
207.271407,317.712100
207.388045,316.777866
207.504682,315.876832
207.621319,315.002520
207.737957,314.149869
207.914963,312.888545
208.091969,311.657346
208.268976,310.448631
208.445982,309.256736
208.622989,308.077458
208.889393,306.319741
209.155797,304.576402
209.422201,302.842497
209.688605,301.114819
209.955009,299.391329
210.303568,297.140446
210.652127,294.892453
211.000686,292.646206
211.349246,290.401113
211.719985,288.013983
212.090724,285.627470
212.461463,283.241392
212.832856,280.851445
213.204249,278.461798
213.575643,276.072431
213.946969,273.683756
214.318296,271.295337
216.415705,257.809183
218.513115,244.330858
220.610524,230.860306
225.856036,197.205004
231.101548,163.597914
236.347060,130.038774
236.435422,129.473878
236.523784,128.908995
236.612147,128.344125
236.700509,127.779269
236.788871,127.214427
236.965596,126.084798
237.142320,124.955226
237.514464,122.576719
237.886607,120.198469
238.258751,117.820477
239.490711,109.950114
240.327607,104.605223
241.164504,99.261612
242.001400,93.919268
242.838296,88.578182
244.367736,78.820516
245.897175,69.067025
247.426614,59.317700
250.294428,41.048167
253.162243,22.793197
256.030058,4.552744
256.746208,-0.000010
